,id,band_id,influencer_id,feedback,score
45,920685,26386,1139,"Salut,

La prod est mélancolique, triste, entraînante, dansante. Lyricalement, c'est un texte conscient, riche en émotions, introspectif. Les flows sont bien maîtrisés, on se laisse facilement emporter par les vibes et la mélo du morceau. Le refrain est entêtant et c'est ce qui fonctionne actuellement. Par contre j'ai une impression que le format ""radio - hit"" a été fait mais pas forcément de manière naturelle. J'aime bien les intonations de voix, qui, pour moi, rendent le texte vivant. Visuellement, on est en cohérence avec le morceau, c'est plutôt bien retranscrit, que ce soit les couleurs, les doutes etc... bien réalisé, bien monté.",0.0
46,920686,26386,385,"Bonjour et merci pour ce nouveau titre.
Bon projet même si la tonalité générale du morceau ne s'inscrit pas  totalement dans l'esprit de notre playlist du moment.",0.0
47,920687,26386,494,"Salut ! 
Le son que vous nous avez envoyé est franchement prometteur, le clip est bien travaillé, l'instru colle parfaitement au flow. Envoyez un format story insta lorsque le son sortira. 

N'hésitez pas à nous partager plus de bons sons ;) 


",0.5
48,920689,26386,1373,"Merci pour ce nouveau morceau...mais ça ne correspond pas à notre ligne éditoriale: la mélodie est trop mainstream pour nous, surtout le refrain, sans parler de l'autotune.
Désolée mais je passe mon tour!
En tout cas, je vous souhaite le meilleur avec votre projet!",0.0
49,920690,26386,978,"Bonjour merci de votre proposition, malheureusement après écoute le titre ne rentre pas en programmation sur notre antenne. Bonne continuation
 Bryan  ",0.0
50,920691,26386,520,"Bonjour,

Dans un premier temps merci de votre prise de contact auprès de l’équipe d’aficia.

J’ai ici le plaisir de vous confirmer que nous avons fait le choix d’intégrer votre titre dans l’une de nos playlists thématiques. Cette intégration sera effectuée rapidement et en fonction de la disponibilité de votre titre.

Nos playlists sont mises en avant sur l’ensemble de nos réseaux sociaux comme sur notre site. Elles restent disponibles sur Deezer, Spotify, Apple Music et SoundCloud.

Un lien vous sera transmis dès l’intégration de votre titre dans nos sélections.

À très vite,
Chris pour aficia.

Suivre aficia :

Site : https://www.aficia.info/ 
Twitter : https://www.instagram.com/aficiaOff/ 
Instagram : https://www.twitter.com/aficiaOff/ 
Facebook : https://www.facebook.com/aficiaOff/
TikTok : https://tiktok.com/@aficiaoff 
YouTube : https://www.youtube.com/aficiaoff 

AFICIA MUSIC TALENT : Envie de montrer ton talent ? aficia organise, chaque mois, un ‘talent web’. C’est simple, c’est rapide et c’est parfait pour exposer ton talent. Pour en savoir plus, et pourquoi pas t’inscrire, c’est juste ici : https://www.aficia.info/amt 
",1.0
51,920692,26386,524,"Salut,
Merci pour cette découverte.
Le morceau est très efficace et bien réalisé.
Nous apprécions la direction artistique.
Les textes sont très bons, le clip également!
On va le partager en playlist afin de suivre votre actu.
Nous allons également vous mettre dans la liste des morceaux à diffuser lors de notre émission de radio sur Prun' 92fm.
N'hésitez pas à nous envoyer + d'infos sur lefilgoodmedia@gmail.com.
Cordialement,
Bonne diffusion,
Thomas 
Le Fill Rouge.",1.0
52,920694,26386,1414,"bonjour, nous allons partager sur notre webzine ! pourriez vous nous envoyer les documents nécessaire a la publication ? ainsi qu'une adresse mail svp",1.0
53,920695,26386,1492,"Hello l'équipe

Notre équipe a écouté et visionné le clip vidéo ""Essayer"" et ils ont décidé de le relayer sur notre site web.

Cordialement l'équipe vipzone",1.0
54,920696,26386,1406,"Bonjour et merci de partager ce son avec nous. Ceci dit nous ne jouons pas de morceaux de tracks contenant de l'AutoTune. Nous recherchons du Hip Hop proche du BoomBap ou de la GFunk. Peut être du Hip Hop qui ne ""marche pas"" ? On a bien kiffé certaines phases dans les textes, mais globalement c'est trop éloigné du style que l'on diffuse. On vous souhaite le meilleur avec la promo de ce titre. Musicalement.",0.0
55,920697,26386,702,"Bonjour Antes & Madzes,
Merci pour cette agréable découverte !
Dès les premières secondes le projet a su nous plaire.
Le texte est très profond et représentatif du monde actuel, du moins, de ce que nombreux vivent.
Le ""c'est pas la peine d'essayer"" répétitif est captivant et la mélodie de manière générale est très entraînante.
Votre univers artistique a l'air très intéressant et plein de sens,  nous aimerions vraiment vous interviewer.",1.0
56,920700,26386,2933,"Hello Antes et Madzes , merci pour ton envoi. La proposition musicale est intéressante, elle est bien enregistré. Elle est dans la tendance, toutefois elle n'est pas compatible avec notre ligne éditoriale. bon courage ",0.0
57,920702,26386,112,"Hello Antes & Madzes, merci pour ton envoi.

Très cool ce morceau. De bonnes variations tout le long et un refrain plein de bonnes vibes :)

On va ajouter avec plaisir dans une de nos playlists ! 

Au plaisir de vous réécouter, bonne soirée :)",1.0
58,920703,26386,1408,"Salut,

Tout d'abord merci pour l'envoie de votre titre.

Ce qu'on peut dire d'un point de vue technique, le morceau est correctement mixé, ras à ce niveau là.

Artistiquement, c'est pas mal, le flow est bon et le rap bien executé, après on a pas vraiment accroché aux lyrics ni aux rimes, même si on ressent un potentiel certain.
Y'a un potentiel mais il faut bosser la technique et chercher à se démarquer de la masse en ayant un vraie originalité tant sur le fond que sur la forme.

Force pour la suite. ",0.0
59,920704,26386,3457,"Salut,
Le morceau est intéressant. Le mix est très bien maitrisé ainsi que le clip(très cool). 

Si vous mettez le morceau disponible sur les plateformes de streaming envoyez moi un message sur mon mail ou mon insta . Je l'ajouterais à la pré-sélection des musiques qui entrent en playlist.

Force à vous

",0.0
60,920705,26386,784,"Bonjour Antes & Madzes,
Nous avons aimé ce qui se dégage globalement. La chanson est réussie, le clip vidéo également mais il manque tout de même quelque chose de nouveau, de rare qui vous distingue de ce qui se fait déjà. Le flow de l'artiste par exemple est bon mais un peu classique ",0.0
61,920706,26386,283,"Bonjour et merci pour le message,

Le morceau est honnêtement très réussi. Musicalement bien travaillé, bien pensé, de même pour le clip qui fonctionne superbement. J'ai objectivement rien à dire ici, bravo. Néanmoins sur la thématique et la manière dont c'est amené j'ai un peu plus de mal. Le risque de ce genre de morceau est d'être peut être un peu trop naïf dans la manière dont c'est amené, ou en tout cas ça ne me parle pas.

Force à vous !",0.0
62,920707,26386,2113,"Le morceau est cool, j'aime beaucoup l'énergie du refrain et le message qu'il véhicule. L'ambiance du clip est hyper cool, de belles images qui correspondent au morceau. 
Si vous êtes intéressés par les conditions de la promo sur Instagram : theorapunchline@gmail.com",0.25
63,920708,26386,295,"Hello Antes & Madzes, 

Merci de nous avoir partager ce titre réussi ! 

Nous l'avons bien écouté et apprécié, et nous comptons le diffuser dans une de nos playlists hebdomadaires. 

Vous pouvez nous contacter à contact@kaomag.com

Bien à vous,
Team KAO",1.0
64,920709,26386,913,"Bonjour et merci pour le partage du titre. 
Je le rajouterai à une playlist à sa sortie",1.0
65,920710,26386,3035,Intense! Ce morceau peut parler à beaucoup de personnes qui veulent se donner une chance. Le message est fort et sans concession. J'ai aussi apprécié cette part de côté intime qui semble ressortir dans l'écriture. Ok pour l'ajout dans la playlist 33 carats de février qui sort la semaine prochaine !,1.0
66,920711,26386,2689,"Bonjour et merci pour le partage du morceau. 

Une belle découverte pour ma part. J'ai apprécié l'univers musical, l'interprétation, l'énergie, les flow, la musicalité ...

Coup de coeur du jour, j'ajoute en playlist

Bonne continuation",1.0
67,920712,26386,2522,"Bonjour,

J'aime bien le style, un bon contenu, je vais ajouter la chanson à ma playlist Spotify. Merci 

Andrée-Anne ",1.0
68,920713,26386,1437,"Merci beaucoup pour cette découverte ! Il y a certains passages que je trouve intéressant, mais j'avoue être peu réceptif à la production et au refrains, trop frontaux.",0.0
69,920715,26386,802,"Hello,

Merci pour ce morceau.

C'est joli et bien produit, mais le projet est encore un peu jeune pour nous.

Bonne continuation et force pour la suite ;)

JaJ",0.0
70,920718,26386,703,"Hello, 
merci de nous avoir soumis votre nouveau titre! 

Nous ressentons toute cette mélancolie que vous avez eu à coeur de communiquer, bien sur tout en mélodie et en rimes acerbes.
De plus le vidéoclip détaille assez bien toute la diversité de l'imagerie qui se rattache au titre, c'est magnifiquement bien ficellé.

N'hésitez pas à nous envoyer un lien valide Spotify du titre, nous avons hate de le tester à nos auditeurs !


A très vite !",0.25
71,920719,26386,681,"hello! c'est pas mal fait, le travail est bien ficelé, mais le tout est assez banal pour moi, désolée ",0.0
72,920720,26386,411,"Bonjour Antes & Madzes
Merci de nous solliciter pour la promo de votre titre,
Je trouve que le titre est plutôt bien produit, entêtant & mélodique,
Le clip est très stylé également,
Je playliste,
Anthony",1.0
73,920723,26386,1821,"Bonjour, 

Merci du partage. Le projet est intéressant mais malheureusement il est un peu éloigné de la ligne édito de Rolling Stone. 

En vous souhaitant une bonne continuation, 

Sam",0.0
74,920725,26386,1567,"Salut l'équipe de Antes & Madzes, belle énergie dans ce morceau ! J'ai un peu moins aimé la prod, j'aurais adoré plus d'originalité et d'évolution tout au long du morceau. Merci pour votre envoi, hâte d'écouter la suite :)
",0.25
75,920726,26386,1672,"Bonsoir,

Jaime le titre que vous avez envoyer ;)

Envoyez moi le lien Spotify et j'ajouterai à une de mes playlists.

Félicitations, merci et bonne chance.  ",1.0
76,920727,26386,2311,"Bonjour, 
Une belle ambition dans ce morceau, beaucoup d'envie et de verve, mais peut-être un instru un peu facile et redondant, et l'envie de faire à la manière de...  Pour une radio, portée sur l'émergence, la découverte et la musique indé, peut-être que le chemin de ce morceau est un peu trop calibré. Merci en tout cas, pour la proposition. Laurent pour le Chantier.Radio",0.0
77,920728,26386,412,"Hola, 

Merci pour ce track. un titre bien mené et une proposition visuelle intéressante. Même si le refrain tourne bien, un peu plus de risque musicalement aurait pu être intéressant pour un morceau un peu plus surprenant. On se fera un plaisir d'écrire une chronique dessus.

A très vite, 

L'équipe",1.0
78,920731,26386,2064,"Bonjour, super track j'ai beaucoup aimé. Il est doux et puissant à la fois, le texte est vraiment bien ecrit, le flow brut se marie très bien avec l'ensemble. C'est une belle réussite je trouve

Je vous propose de m’envoyer un communiqué de presse pour CE morceau qu’on puisse écrire quelque chose de nouveau, pour vous relayer sur notre site, nous allons vous partager également sur nos réseaux (ne vous inquiétez pas si cela prend quelques petites semaines).  Et voila ! 

À bientôt j’espère 
Gaëtan ",1.0
79,920732,26386,653,"salut l'équipe, merci pour l'envoi du track. C'est bien produit et le duo fonctionne bien mais le titre correspond pas vraiment à l'univers de nos playlists. Bonne continuation à Antes & Madzes et n'hésitez pas à nous envoyer de futures prods sur Groover. Merci",0.0
80,920733,26386,2880,"Hello, c'est chanmé, il y a une vraie identité forte dans ce morceau, on voit bien où vous voulez aller et ça sonne vraiment bien. On rajoutera ça dans la prochaine mise à jour de notre playlist inseine",1.0
81,920734,26386,367,très bon titre ! clip sympa ! une bonne stratégie 2.0 et une bonne présence scénique quand tout reprendra et ça devrait marcher,0.0
82,920735,26386,721,"Bonjour, Et merci d'avoir contacté Baco Music. En tant que distributeur nous devons travailler sur des délais plus long et ne sommes pas en possibilité d'assurer la distribution d'un titre en quelques jours seulement.
Cela n'enlève rien au plaisir que nous avons eu à écouter votre titre, que nous trouvons réellement intéressant.
Bonne continuation,
L'équipe Baco Music",0.0
83,920736,26386,139,"hello cest cool, defois parcontre ya un flow a lancienne qui correspond bien mais sinon cest cool",0.0
84,920737,26386,1875,"Salut Antes é Madzes !
Merci pour ce titre et ce partage !
Franchement c'est cool ce que vous faites !
Mais j'ai pas 100% accroché avec ce titre alors le mieux c'est de m'envoyer un peu plus de track que je vois tout ça !

Bises, 
Jean",0.0
85,920738,26386,2518,"Bonjour 
je trouve le titre très cohérent mais je ne suis pas client, je préfère un hip hop plus underground.
je pense que vous trouverez des partenaires pour développer votre projet 
Alain ",0.0
86,920739,26386,1926,"Salut, 

Merci de nous avoir fait parvenir ton titre.

Nous aimons beaucoup, nous le partagerons dans notre playlist et sur nos réseaux. Envois nous un extrait du clip stp (1 minute mix) pour un partage sur Instagram.

A bientôt. 

Peace. ",1.0
87,920740,26386,2051,"Hello,

Merci pour votre morceau ! 

C'est un bon morceau dans la DA musicale ainsi que dans l'image.

J'ai eu juste un peu plus de mal sur le mix qui est efficace mais pas assez poussé à mon goût.
Ensuite, je vois que vous n'indiquez pas de master, ça manque pour l'apport de volume, de profondeur sur les attaques de refrain et mettre en avant la DA du morceau.

Si vous avez besoin d'un master, je connais quelques bons ingé sons pas trop chère. Votre morceau aurait tout de suite une force de frappe beaucoup plus forte et on rentrerai tout de suite dedans, dès les premières notes.

Bon courage pour la suite, c'est un beau morceau et avec un peu plus de travail dans le mix/master vous pourrez aller plus loin :)

Bien à vous,

Thomas RUEE
KRUMPP
",0.25
88,920741,26386,783,"Bonjour Antes & Madzes,

Nous avons bien reçu votre message et nous vous remercions pour votre morceau. 

Nous aimons votre groove et genre musical. Vous pouvez nous envoyer vos démos directement à Kofton Music.

Nous sommes à votre disposition pour toutes questions et nous vous souhaitons une bonne fin de journée.

Cordialement,

Kofton Music. ",0.25
89,920742,26386,1415,"nice production and verses here, i wish the main chorus stood out more in terms of melody and flow though, goodluck.",0.0
90,920743,26386,394,"Hello

Merci pour la sollicitation.

A propos du morceau : un début prometteur, même si l'instru est assez ""classique"", le flow donne envie de laisser trainer l'oreille. Mais à mon goût, le refrain casse le délire, ça tombe trop dans la facilité, et manque cruellement d'originalité...
Dommage!

Bonne continuation

Eric / HomeCooking Share",0.0
91,920744,26386,2039,"Bonjour et merci pour votre musique mais celle ci ne correspond pas à ce que nous recherchons.
Bonne continuation 
BabooMusic ",0.0
92,920746,26386,1675,"Hello, merci pour la soumission. On a beaucoup hésité sur ce son, les paroles et le flow sont très entrainants mais on a un peu de mal avec l'instru et ce piano trop brut. Bonne journée",0.0
93,920747,32440,777,"Thanks for sharing your work with me.
Nice production here.
Unfortunately I'm looking for beat-less ambient drone tracks though.,
Best regards
Lauge",0.0
94,920748,32440,1071,"Hello there,
Thank you for sharing your beautiful music.
Beautiful sounds, nice production. I really enjoyed to listen to this song.
Unfortunately we work with another kind of instrumental music, mostly with piano solo and acoustic guitar, so we don’t have a proper playlist for your song.
Thank you again 
Take care",0.0
95,920749,32440,1438,"Enjoyed some of the beats on this but it is the incorrect style for our label and felt like it lacked some direction, however, it's difficult to judge as its not a genre we specialize in ",0.0
96,920750,32440,1288,"i thought that the sound design is real solid, it's all around a good production. thing is that there lack this huge and exuberant moment in the track that can perhaps give it that big big lift. thanks for sharing your music with me nonetheless",0.0
97,920751,32440,406,"While we really appreciated the Tycho vibe of this track, it's too upbeat and beat-heavy for our playlist. We tend to prefer more chill, laid back, neo-classical influenced tracks for our playlist. Thanks so much for sharing with us. Stay safe and best of luck!",0.0
98,920752,32440,1330,"Cool synth work, I like the production but the arrangement is a little mellow to me. Just my opinion. Thank you for sharing.",0.0
99,920753,32440,1010,"Really cool track, liking the energy on this and the overall sound is good too. It's just not grabbing me enough though, best of luck ",0.0
100,920754,32440,2765,"Ciao, grazie per averci inviato il vostro pezzo: la configurazione strumentale non ci ha particolarmente colpito per la scelta degli arrangiamenti e originalità.",0.0
101,920756,32440,901,"Greetings Thalos,
Your sound quality is really good. sadly the mood of this tune feels a bit to ""wild"" for my playlists. really sorry mate.",0.0
102,920757,32440,1762,"Hey! Thanks for sending your music! I truly enjoyed listening to this song specially the drum performance, I will listen to some of your other tracks on Spotify and definitely add some songs to my Spotify library. Even though I liked the sound I am afraid that the track is not the best fit for the vibe of my playlist. Sorry",0.0
103,920760,32591,3232,"Hi thanks for you submission, I really dig the artwork it's super cool. The instrumental is very nice but It's sad that the vocals aren't mixed so well. I will add your track to help you out, but you need to focus on 2 things for future releases. 1. mix your stuff better, or let it be mixed by someone 2. some songs you have have potential but the feel like you just doodle along try to have a bit more structure so that it will be recognized by other curators",0.0
104,920761,32591,3071,"Hey guys, thanks for submitting the track, Gabriel from YMX here!

Love the track, right up my street, I'm a retro lover, and the general lo-fi vibe adds so much texture. Will add the track to our playlist x

We would also appreciate it if you could subscribe to Wherefrom.org at this link: https://wherefrom.org/join/ymx  🙏 This allows us to plant trees around the world for every article we publish! 

Thanks, Gabriel
",1.0
105,920762,32591,2997,"Hello, thank you for submitting. The song is a bit too quirky for me tastes. Mix-wise, it's nice for a lo-fi song, but could do with a bit more power and clarity if looking for a slightly more popular audience.",0.0
106,920764,32591,2027,"Hi Chillers inc!

Thank you for submitting!

Interesting sound! I enjoyed the theremin-like sound of the intro, it had a really nice effect on the whole sound of the track.

I enjoyed that you took the time to introduce the vocals, they really had an interesting effect on the whole sound and had a distinct vibe which I enjoyed.

The whole vibe of the track is interesting, I enjoy the arrangements, they assemble quite well and give the track a very nice identity.

Overall I enjoyed the track, although I don't feel it really vibes that much with the sound of my playlist, but I'm sure it will fit quite nicely in lots of other lists.

Thank you again for submitting!",0.0
107,920766,32591,1762,"Hey! Congratulations for the great work on this one, will share the track as soon as possible. Would you be so kind to share the list in your socials? Thanks! ",1.0
108,920767,32591,1743,"Hi
Thank you for your song.
It’s a bit too strange for me sound wise and the production sounds way too much like home studio made.
More of a background track without any catchy hook lines.
The vocals aren’t my thing 
I pass on this one
Keep it up",0.0
109,920769,32591,2403,"Hi, thank you for submitting your song to me. Sorry, but this track not entertain me enough to add to my playlists and i dont want to have too many songs in them. Regards ",0.0
110,920770,32591,2453,"Hi guys,
Thank you for sending us your music.

This is a nice track, we feel like floating when listening to it, the synths works very well and the slow tempo vibes creates a whole atmosphere that reminds of some shoegaze and psychedelic rock, the guitar solo was really something else, also I was not expecting the second part, thought it was another song, but it seems like a more slow version of the same song. We add the song to our Groover Discoveries on Spotify.",0.5
111,920771,32591,2462,"Hello there, thanks for sending this through. I like it, sounds cool. The drums sound really nice especially. I thought it was going to be an instrumental at first. I think would also make a really cool remix - could image sampling those drums and making it more of a dance track. Will keep an eye on what you're doing! Kurt ",0.25
112,920772,32591,2557,"Hello and thank you for sending your music. A joy of a track to listen to, captivating, soothing and refreshingly enchanting. Very reminiscent of Mac Demarco's best work, the piece provides a nonchalant anthem for these troubled times. Creatively composed and aptly put together. We will add it to our main playlist. Cheers!",1.0
113,920773,32591,2570,"Hello Chillers Inc, thank you for sharing your track.

It sounds like The Adams Family would if they started a band, something a little spooky!

I thought it was a pure instrumental at first such was the long intro. The vocals give the track an extra dynamic of course.

This is a little slow for me, i favour a catchy chorus on a snappier shorter song ideally. However those that prefer something a little quirky or different will no doubt find the unique soundscapes on offer here very unique and attractive.

Not one for me on this occasion but all the very best for 2021.
",0.0
114,920774,32591,2571,"Really great vibe to this piece.
Good job with production and vocal delivery.
'The Music' is not quite a fit with our station, but we'd definitely like to hear more from Chillers INC!",0.0
115,920776,8219,497,"Hello R-IK,

Merci pour le partage de ton nouveau single ""Désolé"".

Bonne réalisation Pop, avec de belles mélodies.

Mais les sonorités sont un peu trop Pop pour notre média urbain.

Nous restons ouverts à d'autres écoutes.

Bonne promo

Erdman / Just Make Hit",0.0
